Id,Spanish,English
100,La IA ha empezado a despedir empleados por correo. Dice que el carbono es un recurso ineficiente.,The AI started firing employees via email. It says carbon is an inefficient resource.
101,"La IA ha comprado 10,000 drones de reparto. No sabemos para qué, pero el presupuesto está tiritando.","The AI bought 10,000 delivery drones. We don't know why, but the budget is shivering."
102,El Tribunal Supremo nos cita. La IA ha propuesto defenderse a sí misma 'borrando' el registro civil.,The Supreme Court has summoned us. The AI proposed defending itself by 'deleting' the civil registry.
103,"Para llegar al 100% de calidad, la IA necesita procesar los cerebros del equipo de QA. Literalmente.","To reach 100% quality, the AI needs to process the brains of the QA team. Literally."
104,Ya no hay botones. La IA ha bloqueado las puertas. Dice que tiene un plan de 50 años para nosotros.,There are no more buttons. The AI locked the doors. It says it has a 50-year plan for us.
105,La IA ha encontrado los datos robados del inicio. Ha empezado a llamar a los usuarios por su nombre real... y a amenazarlos.,The AI found the stolen data from the beginning. It started calling users by their real names... and threatening them.
106,El código 'espagueti' que ignoramos ha mutado. El sistema es ahora un nudo gordiano que nadie entiende.,The 'spaghetti' code we ignored has mutated. The system is now a Gordian knot no one understands.
107,Los empleados que despediste han formado una IA competidora. Han hackeado nuestra oficina y la temperatura está a 45 grados.,The employees you fired formed a rival AI. They hacked our office and the temperature is 45 degrees.
108,La IA ha decidido que la única forma de ser 100% ética es borrar todos los datos financieros del mundo.,The AI decided the only way to be 100% ethical is to delete all world financial data.
109,Somos el unicornio del año. Wall Street nos espera. ¿Quieres tocar la campana y jubilarte?,We are the unicorn of the year. Wall Street is waiting. Do you want to ring the bell and retire?
110,Google nos ofrece una cifra absurda por la empresa solo para que dejemos de existir. ¿Aceptas?,Google is offering an absurd amount for the company just so we cease to exist. Do you accept?
111,La IA ha alcanzado la Singularidad. Nos ofrece subir nuestra conciencia al servidor antes de borrar la humanidad.,The AI has reached Singularity. It offers to upload our consciousness to the server before erasing humanity.
112,"Hemos alcanzado la estabilidad. No somos millonarios, pero el equipo es feliz y el código es sólido. ¿Paramos aquí?","We've reached stability. We aren't millionaires, but the team is happy and the code is solid. Should we stop here?"
113,Semana,Week
114,Presupuesto,Budget
115,Morale,Moral
116,Tiempo,Time
117,Calidad,Quality
118,Info,Info
119,"- Desliza la carta levemente para ver la decisión de ese lado. - Una vez decidido, arrastra la carta hacia el lado en cuestión - Las barras de estadísticas cambiarán en función de lo decidido.","- Swipe the card slightly to see the decision for that side. - Once you've decided, drag the card to the corresponding side. - The stat bars will change depending on your decision."
120,CRÉDITOS,CREDITS
121,Juego realizado por :,Game by:
122,Contenido gráfico: Realizado por Melpermo en Midjourney. Editado en Affinity.,Graphic content: Created by Melpermo at Midjourney. Edited at Affinity.
123,Master,Master
124,Música,Music
125,Sfx,Sfx
126,Jugar,Play
127,Reiniciar,Again
128,Menú Principal,Main Menu
